Field,SubScaleName,ScaleName,Reversed,VarName
C2a,Natural Environment,Motivations,FALSE,motivation_natural
C2c,Natural Environment,Motivations,FALSE,motivation_natural
C2g,Natural Environment,Motivations,FALSE,motivation_natural
C2l,Natural Environment,Motivations,FALSE,motivation_natural
C2e,Psychological and Physiological,Motivations,FALSE,motivation_pp
C2f,Psychological and Physiological,Motivations,FALSE,motivation_pp
C2j,Psychological and Physiological,Motivations,FALSE,motivation_pp
C2m,Psychological and Physiological,Motivations,FALSE,motivation_pp
C2d,Social,Motivations,FALSE,motivation_social
C2h,Social,Motivations,FALSE,motivation_social
C2o,Social,Motivations,FALSE,motivation_social
C2p,Social,Motivations,FALSE,motivation_social
C2b,Fishery Resource,Motivations,FALSE,motivation_resource
C2i,Fishery Resource,Motivations,FALSE,motivation_resource
C2k,Fishery Resource,Motivations,FALSE,motivation_resource
C2n,Fishery Resource,Motivations,FALSE,motivation_resource
C2q,Fishery Resource,Motivations,FALSE,motivation_resource
C2b,Catch,CatchMotivations,FALSE,motivation_catch
C2d,Catch,CatchMotivations,FALSE,motivation_catch
C2e,Catch,CatchMotivations,FALSE,motivation_catch
C2i,Catch,CatchMotivations,FALSE,motivation_catch
C2k,Catch,CatchMotivations,FALSE,motivation_catch
C2n,Catch,CatchMotivations,FALSE,motivation_catch
C2q,Catch,CatchMotivations,FALSE,motivation_catch
C2a,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2c,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2f,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2g,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2h,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2j,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2l,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2m,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2o,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
C2p,Non-Catch,CatchMotivations,FALSE,motivation_noncatch
E1a,Catch something,Attitudes,TRUE,attitude_catch
E1g,Catch something,Attitudes,FALSE,attitude_catch
E1k,Catch something,Attitudes,TRUE,attitude_catch
E1p,Catch something,Attitudes,FALSE,attitude_catch
E1c,Numbers of fish,Attitudes,FALSE,attitude_numbers
E1e,Numbers of fish,Attitudes,FALSE,attitude_numbers
E1n,Numbers of fish,Attitudes,FALSE,attitude_numbers
E1o,Numbers of fish,Attitudes,FALSE,attitude_numbers
E1b,Size of fish,Attitudes,FALSE,attitude_size
E1h,Size of fish,Attitudes,FALSE,attitude_size
E1j,Size of fish,Attitudes,FALSE,attitude_size
E1m,Size of fish,Attitudes,FALSE,attitude_size
E1d,Harvesting fish,Attitudes,FALSE,attitude_harvest
E1f,Harvesting fish,Attitudes,TRUE,attitude_harvest
E1i,Harvesting fish,Attitudes,FALSE,attitude_harvest
E1l,Harvesting fish,Attitudes,TRUE,attitude_harvest
D1a,Environmental Services,Programs,FALSE,programs_environment
D1d,Environmental Services,Programs,FALSE,programs_environment
D1j,Environmental Services,Programs,FALSE,programs_environment
D1q,Environmental Services,Programs,FALSE,programs_environment
D1b,Habitat and Access,Programs,FALSE,programs_habitat
D1c,Habitat and Access,Programs,FALSE,programs_habitat
D1h,Habitat and Access,Programs,FALSE,programs_habitat
D1k,Habitat and Access,Programs,FALSE,programs_habitat
D1p,Habitat and Access,Programs,FALSE,programs_habitat
D1t,Habitat and Access,Programs,FALSE,programs_habitat
D1e,Outreach,Programs,FALSE,programs_outreach
D1f,Outreach,Programs,FALSE,programs_outreach
D1g,Outreach,Programs,FALSE,programs_outreach
D1m,Outreach,Programs,FALSE,programs_outreach
D1n,Outreach,Programs,FALSE,programs_outreach
D1o,Outreach,Programs,FALSE,programs_outreach
D1r,Outreach,Programs,FALSE,programs_outreach
D1u,Outreach,Programs,FALSE,programs_outreach
D1i,Game Fish,Programs,FALSE,programs_game
D1l,Game Fish,Programs,FALSE,programs_game
D1s,Game Fish,Programs,FALSE,programs_game
D3a,Social,Barriers,FALSE,barriers_social
D3e,Social,Barriers,FALSE,barriers_social
D3j,Social,Barriers,FALSE,barriers_social
D3m,Social,Barriers,FALSE,barriers_social
D3f,Access,Barriers,FALSE,barriers_access
D3h,Access,Barriers,FALSE,barriers_access
D3l,Access,Barriers,FALSE,barriers_access
D3t,Access,Barriers,FALSE,barriers_access
D3b,Time,Barriers,FALSE,barriers_time
D3c,Time,Barriers,FALSE,barriers_time
D3k,Time,Barriers,FALSE,barriers_time
D3p,Time,Barriers,FALSE,barriers_time
D3d,Knowledge,Barriers,FALSE,barriers_knowledge
D3i,Knowledge,Barriers,FALSE,barriers_knowledge
D3q,Knowledge,Barriers,FALSE,barriers_knowledge
D3s,Knowledge,Barriers,FALSE,barriers_knowledge
D3g,Cost,Barriers,FALSE,barriers_cost
D3n,Cost,Barriers,FALSE,barriers_cost
D3o,Cost,Barriers,FALSE,barriers_cost
D3r,Cost,Barriers,FALSE,barriers_cost
Q31e,Comprehension and Confidence,Regulations,FALSE,reg_comprehension
Q31g,Comprehension and Confidence,Regulations,FALSE,reg_comprehension
Q31h,Comprehension and Confidence,Regulations,FALSE,reg_comprehension
Q31j,Site-Specific Support,Regulations,FALSE,reg_sitesupport
Q31k,Site-Specific Support,Regulations,FALSE,reg_sitesupport
Q31l,Site-Specific Support,Regulations,FALSE,reg_sitesupport
Q31a,Uniform Preference,Regulations,FALSE,reg_uniform
Q31b,Uniform Preference,Regulations,FALSE,reg_uniform
Q31d,Uniform Preference,Regulations,FALSE,reg_uniform
Q31f,Uniform Preference,Regulations,FALSE,reg_uniform
Q31i,Uniform Preference,Regulations,FALSE,reg_uniform
Q31j,Site-Specific Orientation,RegulationsBipolar,FALSE,reg_orientation
Q31k,Site-Specific Orientation,RegulationsBipolar,FALSE,reg_orientation
Q31l,Site-Specific Orientation,RegulationsBipolar,FALSE,reg_orientation
Q31a,Site-Specific Orientation,RegulationsBipolar,TRUE,reg_orientation
Q31b,Site-Specific Orientation,RegulationsBipolar,TRUE,reg_orientation
Q31d,Site-Specific Orientation,RegulationsBipolar,TRUE,reg_orientation
Q31f,Site-Specific Orientation,RegulationsBipolar,TRUE,reg_orientation
Q31i,Site-Specific Orientation,RegulationsBipolar,TRUE,reg_orientation
